accediendo	accedido
actuando	actuado
adoptando	adoptado
adquiriendo	adquirido
ampliando	ampliado
aprendiendo	aprendido
asegurando	asegurado
avanzando	avanzado
cambiando	cambiado
caminando	caminado
cantando	cantado
causando	causado
combatiendo	combatido
consiguiendo	conseguido
creando	creado
cubriendo	cubierto
desempeñando	desempeñado
determinando	determinado
elaborando	elaborado
encontrando	encontrado
entendiendo	entendido
enviando	enviado
existiendo	existido
facilitando	facilitado
fallando	fallado
ganando	ganado
gastando	gastado
hablando	hablado
impidiendo	impedido
incorporando	incorporado
indicando	indicado
involucrando	involucrado
leyendo	leído
localizando	localizado
mejorando	mejorado
necesitando	necesitado
operando	operado
oyendo	oído
permitiendo	permitido
quedando	quedado
representando	representado
respondiendo	respondido
satisfaciendo	satisfecho
superando	superado
tocando	tocado
tomando	tomado
tratando	tratado
viniendo	venido
visitando	visitado
volando	volado
