afganistán	afgano
andorra	andorrano
armenia	armenio
baréin	bareiní
botsuana	botsuano
bután	butanés
bélgica	belga
catar	catarí
chipre	chipriota
colombia	colombiano
croacia	croata
dominica	dominiqués
estonia	estonio
finlandia	finés
gambia	gambiano
georgia	georgiano
guinea-bisáu	bisauguineano
haití	haitiano
honduras	hondureño
hungría	húngaro
indonesia	indonesio
inglaterra/uk/ru	ingles
islandia	islandés
japón	japonés
jordania	jordano
kenia	keniano
luxemburgo	luxemburgués
maldivas	maldivo
micronesia	micronesio
moldavia	moldavo
nauru	nauruano
nigeria	nigeriano
palestina	palestino
panamá	panameño
portugal	portugués
samoa	samoano
senegal	senegalés
siria	sirio
sudáfrica	sudafricano
suiza	suizo
surinam	surinamés
taiwan	taiwanes
tanzania	tanzano
togo	togolés
uganda	ugandés
usa/eeuu	estadounidense/norteamericano/gringo
uzbekistán	uzbeko
venezuela	venezolano
yemen	yemení
yibuti	yibutiano
