adquiero	adquirirías
agradezco	agradecerías
amplío	ampliarías
aplico	aplicarías
aseguro	asegurarías
busco	buscarías
cambio	cambiarías
combato	combatirías
comprendo	comprenderías
compruebo	comprobarías
construyo	construirías
contengo	contendrías
continúo	continuarías
contribuyo	contribuirías
convierto	convertirías
coopero	cooperarías
corro	correrías
dependo	dependerías
escapo	escaparías
estoy	estarías
estudio	estudiarías
evito	evitarías
examino	examinarías
existo	existirías
facilito	facilitarías
fortalezco	fortalecerías
genero	generarías
gestiono	gestionarías
incluyo	incluirías
introduzco	introducirías
involucro	involucrarías
mejoro	mejorarías
paro	pararías
preservo	preservarías
promuevo	promoverías
protejo	protegerías
recuerdo	recordarías
reemplazo	reemplazarías
relaciono	relacionarías
reviso	revisarías
sé	sabrías
selecciono	seleccionarías
sirvo	servirías
sufro	sufrirías
trabajo	trabajarías
vendo	venderías
veo	verías
viajo	viajarías
visito	visitarías
vuelvo	volverías
