abandonan	abandonaríamos
abordan	abordaríamos
abren	abriríamos
aceptan	aceptaríamos
acuerdan	acordaríamos
actúan	actuaríamos
agradecen	agradeceríamos
aprovechan	aprovecharíamos
avanzan	avanzaríamos
bailan	bailaríamos
beben	beberíamos
cambian	cambiaríamos
consiguen	conseguiríamos
consisten	consistiríamos
controlan	controlaríamos
corren	correríamos
cortan	cortaríamos
demuestran	demostraríamos
designan	designaríamos
detienen	detendríamos
discuten	discutiríamos
encuentran	encontraríamos
escuchan	escucharíamos
expresan	expresaríamos
imponen	impondríamos
incorporan	incorporaríamos
intentan	intentaríamos
llaman	llamaríamos
logran	lograríamos
ofrecen	ofreceríamos
olvidan	olvidaríamos
pierden	perderíamos
permanecen	permaneceríamos
presentan	presentaríamos
prestan	prestaríamos
previenen	prevendríamos
refieren	referiríamos
relacionan	relacionaríamos
representan	representaríamos
resuelven	resolveríamos
responden	responderíamos
roban	robaríamos
rompen	romperíamos
salen	saldríamos
seleccionan	seleccionaríamos
sientan	sentaríamos
sugieren	sugeriríamos
suman	sumaríamos
tocan	tocaríamos
vienen	vendríamos
