aborda	abordaría
acepta	aceptaría
apoya	apoyaría
aprovecha	aprovecharía
atiende	atendería
atrae	atraería
aumenta	aumentaría
ayuda	ayudaría
añade	añadiría
bebe	bebería
conduce	conduciría
confirma	confirmaría
cuenta	contaría
convierte	convertiría
coopera	cooperaría
coordina	coordinaría
crea	crearía
decide	decidiría
demuestra	demostraría
disfruta	disfrutaría
elabora	elaboraría
entra	entraría
envía	enviaría
está	estaría
explora	exploraría
guarda	guardaría
incluye	incluiría
incrementa	incrementaría
inicia	iniciaría
involucra	involucraría
va	iría
logra	lograría
paga	pagaría
piensa	pensaría
produce	produciría
propone	propondría
recibe	recibiría
recupera	recuperaría
requiere	requeriría
revisa	revisaría
satisface	satisfaría
selecciona	seleccionaría
siente	sentiría
sirve	serviría
suma	sumaría
tiene	tendría
trata	trataría
viene	vendría
visita	visitaría
vota	votaría
