abordo	abordaste
accedo	accediste
agradezco	agradeciste
atraigo	atrajiste
añado	añadiste
camino	caminaste
canto	cantaste
cierro	cerraste
como	comiste
compro	compraste
compruebo	comprobaste
conozco	conociste
conservo	conservaste
contengo	contuviste
continúo	continuaste
decido	decidiste
designo	designaste
destruyo	destruiste
determino	determinaste
ejerzo	ejerciste
elijo	elegiste
examino	examinaste
exploro	exploraste
formo	formaste
formulo	formulaste
gasto	gastaste
gestiono	gestionaste
identifico	identificaste
intento	intentaste
introduzco	introdujiste
leo	leíste
logro	lograste
miro	miraste
observo	observaste
oigo	oíste
pago	pagaste
pido	pediste
promociono	promocionaste
promuevo	promoviste
quedo	quedaste
reconozco	reconociste
respondo	respondiste
saco	sacaste
salvo	salvaste
sirvo	serviste
sugiero	sugeriste
tengo	tuviste
uso	usaste
utilizo	utilizaste
vivo	viviste
