acelerado	acelerarán
asumido	asumirán
atendido	atenderán
ayudado	ayudarán
cambiado	cambiarán
celebrado	celebrarán
cerrado	cerrarán
comprado	comprarán
comprendido	comprenderán
conducido	conducirán
consolidado	consolidarán
consultado	consultarán
contribuido	contribuirán
dejado	dejarán
dependido	dependerán
dirigido	dirigirán
eliminado	eliminarán
entendido	entenderán
enviado	enviarán
funcionado	funcionarán
habilitado	habilitarán
hablado	hablarán
identificado	identificarán
incrementado	incrementarán
iniciado	iniciarán
investigado	investigarán
llamado	llamarán
llevado	llevarán
logrado	lograrán
mantenido	mantendrán
medido	medirán
mirado	mirarán
parado	pararán
parecido	parecerán
pedido	pedirán
pensado	pensarán
preservado	preservarán
prestado	prestarán
prevenido	prevendrán
producido	producirán
representado	representarán
robado	robarán
sacado	sacarán
salvado	salvarán
solicitado	solicitarán
traído	traerán
utilizado	utilizarán
venido	vendrán
visitado	visitarán
votado	votarán
