alcanzas/alcanzás	alcanzarán
animas/animás	animarán
apareces/aparecés	aparecerán
bebes/bebés	beberán
compruebas/comprobás	comprobarán
cooperas/cooperás	cooperarán
corres/corrés	correrán
creas/creás	crearán
cumples/cumplís	cumplirán
das	darán
describes/describís	describirán
diriges/dirigís	dirigirán
disfrutas/disfrutás	disfrutarán
elaboras/elaborás	elaborarán
enseñas/enseñás	enseñarán
evades/evadís	evadirán
evitas/evitás	evitarán
existes/existís	existirán
formas/formás	formarán
ganas/ganás	ganarán
garantizas/garantizás	garantizarán
impides/impedís	impedirán
incluyes/incluís	incluirán
indicas/indicás	indicarán
intentas/intentás	intentarán
involucras/involucrás	involucrarán
vas	irán
mantienes/mantenés	mantendrán
obtienes/obtenés	obtendrán
oyes/oís	oirán
preguntas/preguntás	preguntarán
prestas/prestás	prestarán
previenes/prevenís	prevendrán
promueves/promovés	promoverán
reconoces/reconocés	reconocerán
recuperas/recuperás	recuperarán
representas/representás	representarán
requieres/requerís	requerirán
respetas/respetás	respetarán
sacas/sacás	sacarán
sales/salís	saldrán
sigues/seguís	seguirán
sientas/sentás	sentarán
sufres/sufrís	sufrirán
sumas/sumás	sumarán
terminas/terminás	terminarán
unes/unís	unirán
utilizas/utilizás	utilizarán
vendes/vendés	venderán
votas/votás	votarán
