administras/administrás	administraste
adquieres/adquirís	adquiriste
asistes/asistís	asististe
atiendes/atendés	atendiste
bebes/bebés	bebiste
buscas/buscás	buscaste
celebras/celebrás	celebraste
confías/confiás	confiaste
consideras/considerás	consideraste
creas/creás	creaste
crees/creés	creíste
cubres/cubrís	cubriste
dices/decís	dijiste
dependes/dependés	dependiste
destruyes/destruís	destruiste
detienes/detenés	detuviste
disfrutas/disfrutás	disfrutaste
duermes/dormís	dormiste
enfrentas/enfrentás	enfrentaste
entiendes/entendés	entendiste
estudias/estudiás	estudiaste
evades/evadís	evadiste
formas/formás	formaste
fortaleces/fortalecés	fortaleciste
generas/generás	generaste
habilitas/habilitás	habilitaste
haces/hacés	hiciste
incorporas/incorporás	incorporaste
integras/integrás	integraste
intentas/intentás	intentaste
juegas/jugás	jugaste
llegas/llegás	llegaste
lloras/llorás	lloraste
mencionas/mencionás	mencionaste
ocurres/ocurrís	ocurriste
organizas/organizás	organizaste
permaneces/permanecés	permaneciste
puedes/podés	pudiste
presentas/presentás	presentaste
proteges/protegés	protegiste
publicas/publicás	publicaste
reduces/reducís	redujiste
representas/representás	representaste
sales/salís	saliste
sientes/sentís	sentiste
sobrevives/sobrevivís	sobreviviste
terminas/terminás	terminaste
ves	viste
vives/vivís	viviste
vuelves/volvés	volviste
