abandonábamos	abandonaría
accedíamos	accedería
alcanzábamos	alcanzaría
avanzábamos	avanzaría
bailábamos	bailaría
cantábamos	cantaría
combatíamos	combatiría
compartíamos	compartiría
comprábamos	compraría
comprendíamos	comprendería
confirmábamos	confirmaría
conocíamos	conocería
considerábamos	consideraría
contábamos	contaría
cortábamos	cortaría
dejábamos	dejaría
demostrábamos	demostraría
descargábamos	descargaría
descubríamos	descubriría
deteníamos	detendría
dormíamos	dormiría
elegíamos	elegiría
eliminábamos	eliminaría
enviábamos	enviaría
escuchábamos	escucharía
evadíamos	evadiría
examinábamos	examinaría
formulábamos	formularía
funcionábamos	funcionaría
guardábamos	guardaría
intentábamos	intentaría
leíamos	leería
mejorábamos	mejoraría
mirábamos	miraría
ocurríamos	ocurriría
operábamos	operaría
oíamos	oiría
parábamos	pararía
partíamos	partiría
pedíamos	pediría
permitíamos	permitiría
preguntábamos	preguntaría
producíamos	produciría
reemplazábamos	reemplazaría
resolvíamos	resolvería
respondíamos	respondería
rompíamos	rompería
sentábamos	sentaría
supervisábamos	supervisaría
utilizábamos	utilizaría
