accediste	accederíais
agradeciste	agradeceríais
aseguraste	aseguraríais
asististe	asistiríais
añadiste	añadiríais
buscaste	buscaríais
causaste	causaríais
compraste	compraríais
conservaste	conservaríais
contuviste	contendríais
creaste	crearíais
cumpliste	cumpliríais
dependiste	dependeríais
designaste	designaríais
dormiste	dormiríais
encontraste	encontraríais
explicaste	explicaríais
generaste	generaríais
imaginaste	imaginaríais
implicaste	implicaríais
integraste	integraríais
introdujiste	introduciríais
investigaste	investigaríais
llegaste	llegaríais
localizaste	localizaríais
mataste	mataríais
mencionaste	mencionaríais
mostraste	mostraríais
moviste	moveríais
necesitaste	necesitaríais
observaste	observaríais
perdiste	perderíais
permaneciste	permaneceríais
presentaste	presentaríais
probaste	probaríais
protegiste	protegeríais
recogiste	recogeríais
reemplazaste	reemplazaríais
reforzaste	reforzaríais
respetaste	respetaríais
respondiste	responderíais
robaste	robaríais
sentiste	sentiríais
serviste	serviríais
solicitaste	solicitaríais
superaste	superaríais
terminaste	terminaríais
trataste	trataríais
uniste	uniríais
verificaste	verificaríais
