abordaréis	abordarían
ampliaréis	ampliarían
animaréis	animarían
anunciaréis	anunciarían
casaréis	casarían
cerraréis	cerrarían
comeréis	comerían
comprenderéis	comprenderían
comprobaréis	comprobarían
consolidaréis	consolidarían
contendréis	contendrían
contribuiréis	contribuirían
cumpliréis	cumplirían
descargaréis	descargarían
determinaréis	determinarían
elaboraréis	elaborarían
evaluaréis	evaluarían
explicaréis	explicarían
fallaréis	fallarían
funcionaréis	funcionarían
generaréis	generarían
hablaréis	hablarían
incorporaréis	incorporarían
indicaréis	indicarían
instalaréis	instalarían
invertiréis	invertirían
iréis	irían
limpiaréis	limpiarían
lucharéis	lucharían
mantendréis	mantendrían
mejoraréis	mejorarían
olvidaréis	olvidarían
operaréis	operarían
organizaréis	organizarían
pareceréis	parecerían
pasaréis	pasarían
pensaréis	pensarían
perderéis	perderían
produciréis	producirían
propondréis	propondrían
realizaréis	realizarían
recordaréis	recordarían
reduciréis	reducirían
referiréis	referirían
reforzaréis	reforzarían
saldréis	saldrían
terminaréis	terminarían
tocaréis	tocarían
utilizaréis	utilizarían
viviréis	vivirían
