abandonas/abandonás	abandonaréis
acuerdas/acordás	acordaréis
actúas/actuás	actuaréis
adoptas/adoptás	adoptaréis
alientas/alentás	alentaréis
amplías/ampliás	ampliaréis
analizas/analizás	analizaréis
animas/animás	animaréis
comes/comés	comeréis
compruebas/comprobás	comprobaréis
conservas/conservás	conservaréis
consideras/considerás	consideraréis
consolidas/consolidás	consolidaréis
cooperas/cooperás	cooperaréis
cuidas/cuidás	cuidaréis
dices/decís	diréis
defines/definís	definiréis
diriges/dirigís	dirigiréis
disfrutas/disfrutás	disfrutaréis
ejecutas/ejecutás	ejecutaréis
eliminas/eliminás	eliminaréis
enseñas/enseñás	enseñaréis
escribes/escribís	escribiréis
estudias/estudiás	estudiaréis
examinas/examinás	examinaréis
exploras/explorás	exploraréis
financias/financiás	financiaréis
garantizas/garantizás	garantizaréis
gestionas/gestionás	gestionaréis
identificas/identificás	identificaréis
implicas/implicás	implicaréis
limitas/limitás	limitaréis
localizas/localizás	localizaréis
necesitas/necesitás	necesitaréis
obtienes/obtenés	obtendréis
pareces/parecés	pareceréis
participas/participás	participaréis
pasas/pasás	pasaréis
permaneces/permanecés	permaneceréis
puedes/podés	podréis
preparas/preparás	prepararéis
recoges/recogés	recogeréis
recuerdas/recordás	recordaréis
recuperas/recuperás	recuperaréis
refieres/referís	referiréis
sacas/sacás	sacaréis
sientas/sentás	sentaréis
sientes/sentís	sentiréis
ves	veréis
vuelas/volás	volaréis
