abordamos	abordaremos
alentamos	alentaremos
ampliamos	ampliaremos
aplicamos	aplicaremos
aprobamos	aprobaremos
añadimos	añadiremos
conducimos	conduciremos
conocemos	conoceremos
conservamos	conservaremos
contamos	contaremos
continuamos	continuaremos
contribuimos	contribuiremos
coordinamos	coordinaremos
corremos	correremos
cumplimos	cumpliremos
decidimos	decidiremos
desarrollamos	desarrollaremos
destruimos	destruiremos
determinamos	determinaremos
dirigimos	dirigiremos
eliminamos	eliminaremos
escribimos	escribiremos
expresamos	expresaremos
facilitamos	facilitaremos
firmamos	firmaremos
identificamos	identificaremos
implicamos	implicaremos
incluimos	incluiremos
indicamos	indicaremos
introducimos	introduciremos
involucramos	involucraremos
vamos	iremos
localizamos	localizaremos
mejoramos	mejoraremos
morimos	moriremos
organizamos	organizaremos
oímos	oiremos
partimos	partiremos
pasamos	pasaremos
prestamos	prestaremos
promocionamos	promocionaremos
proponemos	propondremos
publicamos	publicaremos
recuperamos	recuperaremos
requerimos	requeriremos
respondemos	responderemos
satisfacemos	satisfaremos
sentimos	sentiremos
tenemos	tendremos
visitamos	visitaremos
