administré	administraron
asistí	asistieron
avancé	avanzaron
caminé	caminaron
canté	cantaron
causé	causaron
cerré	cerraron
comí	comieron
confirmé	confirmaron
conseguí	consiguieron
consolidé	consolidaron
continué	continuaron
convertí	convirtieron
coordiné	coordinaron
cumplí	cumplieron
descubrí	descubrieron
destruí	destruyeron
detuve	detuvieron
dormí	durmieron
empecé	empezaron
escapé	escaparon
escribí	escribieron
fallé	fallaron
fortalecí	fortalecieron
gané	ganaron
garanticé	garantizaron
guardé	guardaron
impuse	impusieron
inicié	iniciaron
invertí	invirtieron
llamé	llamaron
llevé	llevaron
luché	lucharon
mejoré	mejoraron
miré	miraron
ocurrí	ocurrieron
oí	oyeron
participé	participaron
presté	prestaron
quedé	quedaron
realicé	realizaron
reconocí	reconocieron
representé	representaron
supe	supieron
salí	salieron
sugerí	sugirieron
superé	superaron
trabajé	trabajaron
usé	usaron
vendí	vendieron
