accedía	accedieron
aceptaba	aceptaron
adoptaba	adoptaron
bebía	bebieron
casaba	casaron
compartía	compartieron
consistía	consistieron
corría	corrieron
creaba	crearon
crecía	crecieron
decidía	decidieron
designaba	designaron
disfrutaba	disfrutaron
evadía	evadieron
expresaba	expresaron
fomentaba	fomentaron
ganaba	ganaron
generaba	generaron
guardaba	guardaron
identificaba	identificaron
incorporaba	incorporaron
intentaba	intentaron
limpiaba	limpiaron
mataba	mataron
modificaba	modificaron
mostraba	mostraron
ocurría	ocurrieron
operaba	operaron
participaba	participaron
partía	partieron
pensaba	pensaron
permanecía	permanecieron
preservaba	preservaron
promovía	promovieron
recibía	recibieron
regresaba	regresaron
relacionaba	relacionaron
representaba	representaron
respetaba	respetaron
revisaba	revisaron
sabía	supieron
salía	salieron
seguía	siguieron
era	fueron
servía	sirvieron
sobrevivía	sobrevivieron
soportaba	soportaron
supervisaba	supervisaron
terminaba	terminaron
tocaba	tocaron
