actuarás	actuaríais
administrarás	administraríais
alentarás	alentaríais
animarás	animaríais
bailarás	bailaríais
buscarás	buscaríais
celebrarás	celebraríais
comerás	comeríais
conducirás	conduciríais
conseguirás	conseguiríais
conservarás	conservaríais
consolidarás	consolidaríais
contendrás	contendríais
crecerás	creceríais
definirás	definiríais
demostrarás	demostraríais
desarrollarás	desarrollaríais
descargarás	descargaríais
determinarás	determinaríais
discutirás	discutiríais
dormirás	dormiríais
ejercerás	ejerceríais
entrarás	entraríais
escucharás	escucharíais
evitarás	evitaríais
explorarás	exploraríais
firmarás	firmaríais
impedirás	impediríais
informarás	informaríais
intentarás	intentaríais
irás	iríais
jugarás	jugaríais
manejarás	manejaríais
modificarás	modificaríais
obtendrás	obtendríais
organizarás	organizaríais
pararás	pararíais
partirás	partiríais
propondrás	propondríais
proveerás	proveeríais
recogerás	recogeríais
reconocerás	reconoceríais
recordarás	recordaríais
reducirás	reduciríais
romperás	romperíais
soportarás	soportaríais
tocarás	tocaríais
unirás	uniríais
verificarás	verificaríais
viajarás	viajaríais
