abriste	abrimos
acordaste	acordamos
aseguraste	aseguramos
asumiste	asumimos
caminaste	caminamos
casaste	casamos
causaste	causamos
comiste	comimos
compraste	compramos
conservaste	conservamos
consultaste	consultamos
continuaste	continuamos
controlaste	controlamos
creaste	creamos
cumpliste	cumplimos
descargaste	descargamos
detuviste	detuvimos
empezaste	empezamos
exististe	existimos
exploraste	exploramos
facilitaste	facilitamos
ganaste	ganamos
guardaste	guardamos
hablaste	hablamos
imaginaste	imaginamos
impediste	impedimos
incorporaste	incorporamos
integraste	integramos
intentaste	intentamos
limitaste	limitamos
llamaste	llamamos
llevaste	llevamos
mediste	medimos
mejoraste	mejoramos
moriste	morimos
moviste	movimos
perdiste	perdimos
presentaste	presentamos
produjiste	produjimos
promocionaste	promocionamos
proveíste	proveímos
publicaste	publicamos
recibiste	recibimos
serviste	servimos
solicitaste	solicitamos
soportaste	soportamos
superaste	superamos
terminaste	terminamos
trataste	tratamos
volviste	volvimos
