adopta	adoptaríais
alcanza	alcanzaríais
alienta	alentaríais
analiza	analizaríais
asiste	asistiríais
baila	bailaríais
causa	causaríais
comprende	comprenderíais
consigue	conseguiríais
consolida	consolidaríais
cree	creeríais
decide	decidiríais
dice	diríais
demuestra	demostraríais
depende	dependeríais
descarga	descargaríais
desempeña	desempeñaríais
destaca	destacaríais
determina	determinaríais
duerme	dormiríais
elabora	elaboraríais
elimina	eliminaríais
escribe	escribiríais
está	estaríais
facilita	facilitaríais
guarda	guardaríais
hace	haríais
instala	instalaríais
intenta	intentaríais
limita	limitaríais
lleva	llevaríais
mide	mediríais
mueve	moveríais
obtiene	obtendríais
ofrece	ofreceríais
olvida	olvidaríais
organiza	organizaríais
prueba	probaríais
produce	produciríais
relaciona	relacionaríais
resuelve	resolveríais
revisa	revisaríais
rompe	romperíais
salva	salvaríais
es	seríais
termina	terminaríais
utiliza	utilizaríais
viene	vendríais
ve	veríais
verifica	verificaríais
