administrado	administraban
agradecido	agradecían
aparecido	aparecían
averiguado	averiguaban
buscado	buscaban
caído	caían
cambiado	cambiaban
causado	causaban
combatido	combatían
comprado	compraban
concluido	concluían
conducido	conducían
cortado	cortaban
dado	daban
descubierto	descubrían
detenido	detenían
elegido,electo	elegían
entendido	entendían
entrado	entraban
escrito	escribían
fallado	fallaban
identificado	identificaban
impuesto	imponían
iniciado	iniciaban
investigado	investigaban
leído	leían
llegado	llegaban
medido	medían
mirado	miraban
mostrado	mostraban
oído	oían
pagado,pago	pagaban
pensado	pensaban
puesto	ponían
presentado	presentaban
producido	producían
promocionado	promocionaban
protegido	protegían
reconocido	reconocían
reemplazado	reemplazaban
regresado	regresaban
relacionado	relacionaban
representado	representaban
resuelto	resolvían
sentido	sentían
superado	superaban
tenido	tenían
terminado	terminaban
unido	unían
volado	volaban
