aceleras/acelerás	aceleran
administras/administrás	administran
adoptas/adoptás	adoptan
animas/animás	animan
atraes/atraés	atraen
bailas/bailás	bailan
compartes/compartís	comparten
compruebas/comprobás	comprueban
conservas/conservás	conservan
consideras/considerás	consideran
cooperas/cooperás	cooperan
cortas/cortás	cortan
crees/creés	creen
destacas/destacás	destacan
detienes/detenés	detienen
eliges/elegís	eligen
encuentras/encontrás	encuentran
entras/entrás	entran
escribes/escribís	escriben
facilitas/facilitás	facilitan
fallas/fallás	fallan
generas/generás	generan
incorporas/incorporás	incorporan
instalas/instalás	instalan
llegas/llegás	llegan
lloras/llorás	lloran
localizas/localizás	localizan
mejoras/mejorás	mejoran
muestras/mostrás	muestran
obtienes/obtenés	obtienen
ocurres/ocurrís	ocurren
operas/operás	operan
pagas/pagás	pagan
pides/pedís	piden
pones/ponés	ponen
pruebas/probás	prueban
realizas/realizás	realizan
recibes/recibís	reciben
recoges/recogés	recogen
refuerzas/reforzás	refuerzan
resuelves/resolvés	resuelven
robas/robás	roban
sientas/sentás	sientan
sobrevives/sobrevivís	sobreviven
supervisas/supervisás	supervisan
tienes/tenés	tienen
tocas/tocás	tocan
traes/traés	traen
usas/usás	usan
vuelas/volás	vuelan
