abandonaba	abandonarán
accedía	accederán
acordaba	acordarán
analizaba	analizarán
bailaba	bailarán
buscaba	buscarán
comía	comerán
comprobaba	comprobarán
conservaba	conservarán
consultaba	consultarán
contaba	contarán
corría	correrán
cumplía	cumplirán
decía	dirán
dejaba	dejarán
dependía	dependerán
desarrollaba	desarrollarán
describía	describirán
dormía	dormirán
empezaba	empezarán
examinaba	examinarán
formaba	formarán
gestionaba	gestionarán
hablaba	hablarán
identificaba	identificarán
incrementaba	incrementarán
indicaba	indicarán
iba	irán
limitaba	limitarán
llegaba	llegarán
lograba	lograrán
mataba	matarán
medía	medirán
mejoraba	mejorarán
necesitaba	necesitarán
observaba	observarán
pagaba	pagarán
partía	partirán
pensaba	pensarán
ponía	pondrán
preguntaba	preguntarán
preparaba	prepararán
publicaba	publicarán
reconocía	reconocerán
reemplazaba	reemplazarán
refería	referirán
regresaba	regresarán
respetaba	respetarán
robaba	robarán
sugería	sugerirán
