aceptaste	aceptó
acordaste	acordó
actuaste	actuó
administraste	administró
alcanzaste	alcanzó
anunciaste	anunció
aplicaste	aplicó
asumiste	asumió
atrajiste	atrajo
cerraste	cerró
contaste	contó
contribuiste	contribuyó
controlaste	controló
cooperaste	cooperó
corriste	corrió
cumpliste	cumplió
defendiste	defendió
desempeñaste	desempeñó
disfrutaste	disfrutó
ejecutaste	ejecutó
elaboraste	elaboró
escapaste	escapó
escuchaste	escuchó
estudiaste	estudió
facilitaste	facilitó
fallaste	falló
funcionaste	funcionó
gastaste	gastó
hablaste	habló
intentaste	intentó
invertiste	invirtió
jugaste	jugó
lloraste	lloró
moriste	murió
necesitaste	necesitó
permaneciste	permaneció
preparaste	preparó
presentaste	presentó
propusiste	propuso
protegiste	protegió
recibiste	recibió
recogiste	recogió
reconociste	reconoció
regresaste	regresó
respondiste	respondió
sacaste	sacó
solicitaste	solicitó
superaste	superó
trabajaste	trabajó
trajiste	trajo
