amplías/ampliás	ampliabais
analizas/analizás	analizabais
animas/animás	animabais
aprendes/aprendés	aprendíais
asistes/asistís	asistíais
atiendes/atendés	atendíais
aumentas/aumentás	aumentabais
cambias/cambiás	cambiabais
causas/causás	causabais
completas/completás	completabais
confías/confiás	confiabais
confirmas/confirmás	confirmabais
consigues/conseguís	conseguíais
conservas/conservás	conservabais
conviertes/convertís	convertíais
crees/creés	creíais
cubres/cubrís	cubríais
das	dabais
dices/decís	decíais
discutes/discutís	discutíais
encuentras/encontrás	encontrabais
enfrentas/enfrentás	enfrentabais
escapas/escapás	escapabais
existes/existís	existíais
financias/financiás	financiabais
formas/formás	formabais
imaginas/imaginás	imaginabais
incrementas/incrementás	incrementabais
intentas/intentás	intentabais
juegas/jugás	jugabais
lees/leés	leíais
obtienes/obtenés	obteníais
pagas/pagás	pagabais
participas/participás	participabais
pierdes/perdés	perdíais
permites/permitís	permitíais
preparas/preparás	preparabais
produces/producís	producíais
proporcionas/proporcionás	proporcionabais
realizas/realizás	realizabais
reconoces/reconocés	reconocíais
recuperas/recuperás	recuperabais
reemplazas/reemplazás	reemplazabais
refuerzas/reforzás	reforzabais
respetas/respetás	respetabais
tienes/tenés	teníais
tocas/tocás	tocabais
tratas/tratás	tratabais
unes/unís	uníais
vuelves/volvés	volvíais
