accedía	accedíamos
alentaba	alentábamos
analizaba	analizábamos
animaba	animábamos
aparecía	aparecíamos
asumía	asumíamos
añadía	añadíamos
bailaba	bailábamos
bebía	bebíamos
celebraba	celebrábamos
comenzaba	comenzábamos
comprobaba	comprobábamos
conducía	conducíamos
conocía	conocíamos
conservaba	conservábamos
defendía	defendíamos
desarrollaba	desarrollábamos
destruía	destruíamos
detenía	deteníamos
dirigía	dirigíamos
dormía	dormíamos
enfrentaba	enfrentábamos
enviaba	enviábamos
escribía	escribíamos
firmaba	firmábamos
gestionaba	gestionábamos
hablaba	hablábamos
imponía	imponíamos
intentaba	intentábamos
involucraba	involucrábamos
manejaba	manejábamos
modificaba	modificábamos
mostraba	mostrábamos
ofrecía	ofrecíamos
parecía	parecíamos
preguntaba	preguntábamos
proponía	proponíamos
proveía	proveíamos
publicaba	publicábamos
quedaba	quedábamos
recibía	recibíamos
regresaba	regresábamos
representaba	representábamos
revisaba	revisábamos
salía	salíamos
seguía	seguíamos
supervisaba	supervisábamos
tocaba	tocábamos
trabajaba	trabajábamos
volaba	volábamos
