abierto	abriré
adquirido	adquiriré
agradecido	agradeceré
asistido	asistiré
avanzado	avanzaré
ayudado	ayudaré
bailado	bailaré
caído	caeré
celebrado	celebraré
conservado	conservaré
contado	contaré
cooperado	cooperaré
cubierto	cubriré
dicho	diré
dejado	dejaré
desarrollado	desarrollaré
descubierto	descubriré
elegido,electo	elegiré
empezado	empezaré
estado	estaré
examinado	examinaré
explorado	exploraré
fallado	fallaré
funcionado	funcionaré
generado	generaré
gestionado	gestionaré
identificado	identificaré
imaginado	imaginaré
impuesto	impondré
incorporado	incorporaré
integrado	integraré
muerto	moriré
mostrado	mostraré
ocurrido	ocurriré
operado	operaré
permitido	permitiré
prevenido	prevendré
promovido	promoveré
proporcionado	proporcionaré
proveído,provisto	proveeré
publicado	publicaré
quedado	quedaré
realizado	realizaré
recibido	recibiré
reemplazado	reemplazaré
relacionado	relacionaré
robado	robaré
sentado	sentaré
usado	usaré
vuelto	volveré
