aceptaríamos	aceptaríais
aprobaríamos	aprobaríais
asistiríamos	asistiríais
avanzaríamos	avanzaríais
celebraríamos	celebraríais
comprobaríamos	comprobaríais
conduciríamos	conduciríais
confirmaríamos	confirmaríais
consistiríamos	consistiríais
contendríamos	contendríais
continuaríamos	continuaríais
coordinaríamos	coordinaríais
correríamos	correríais
cortaríamos	cortaríais
diríamos	diríais
defenderíamos	defenderíais
desarrollaríamos	desarrollaríais
descubriríamos	descubriríais
eliminaríamos	eliminaríais
enseñaríamos	enseñaríais
entraríamos	entraríais
enviaríamos	enviaríais
escribiríamos	escribiríais
escucharíamos	escucharíais
estaríamos	estaríais
fallaríamos	fallaríais
generaríamos	generaríais
integraríamos	integraríais
intentaríamos	intentaríais
localizaríamos	localizaríais
manejaríamos	manejaríais
mataríamos	mataríais
moriríamos	moriríais
operaríamos	operaríais
permaneceríamos	permaneceríais
prepararíamos	prepararíais
probaríamos	probaríais
promocionaríamos	promocionaríais
recibiríamos	recibiríais
sentaríamos	sentaríais
señalaríamos	señalaríais
soportaríamos	soportaríais
superaríamos	superaríais
supervisaríamos	supervisaríais
terminaríamos	terminaríais
tomaríamos	tomaríais
trabajaríamos	trabajaríais
uniríamos	uniríais
volaríamos	volaríais
votaríamos	votaríais
