adopta	adoptaríamos
agradece	agradeceríamos
amplía	ampliaríamos
aprende	aprenderíamos
asume	asumiríamos
añade	añadiríamos
bebe	beberíamos
cae	caeríamos
comienza	comenzaríamos
confirma	confirmaríamos
consiste	consistiríamos
coordina	coordinaríamos
cree	creeríamos
decide	decidiríamos
demuestra	demostraríamos
descarga	descargaríamos
descubre	descubriríamos
detiene	detendríamos
discute	discutiríamos
enseña	enseñaríamos
envía	enviaríamos
examina	examinaríamos
existe	existiríamos
gana	ganaríamos
habla	hablaríamos
implica	implicaríamos
va	iríamos
mata	mataríamos
modifica	modificaríamos
necesita	necesitaríamos
ofrece	ofreceríamos
para	pararíamos
pasa	pasaríamos
puede	podríamos
prepara	prepararíamos
previene	prevendríamos
proporciona	proporcionaríamos
publica	publicaríamos
queda	quedaríamos
realiza	realizaríamos
recibe	recibiríamos
recuerda	recordaríamos
recupera	recuperaríamos
refuerza	reforzaríamos
sienta	sentaríamos
sirve	serviríamos
sobrevive	sobreviviríamos
toca	tocaríamos
une	uniríamos
vive	viviríamos
