abordáis	abordabais
accedéis	accedíais
apoyáis	apoyabais
aprovecháis	aprovechabais
averiguáis	averiguabais
camináis	caminabais
casáis	casabais
compartís	compartíais
completáis	completabais
conseguís	conseguíais
conserváis	conservabais
creéis	creíais
dais	dabais
desarrolláis	desarrollabais
destacáis	destacabais
elaboráis	elaborabais
entendéis	entendíais
estáis	estabais
estudiáis	estudiabais
fomentáis	fomentabais
formuláis	formulabais
garantizáis	garantizabais
gestionáis	gestionabais
incrementáis	incrementabais
jugáis	jugabais
llamáis	llamabais
llegáis	llegabais
lloráis	llorabais
medís	medíais
partís	partíais
pedís	pedíais
protegéis	protegíais
realizáis	realizabais
reconocéis	reconocíais
recuperáis	recuperabais
reemplazáis	reemplazabais
regresáis	regresabais
representáis	representabais
requerís	requeríais
resolvéis	resolvíais
rompéis	rompíais
salís	salíais
sentáis	sentabais
sois	erais
tenéis	teníais
tocáis	tocabais
trabajáis	trabajabais
verificáis	verificabais
volvéis	volvíais
votáis	votabais
