abandonado	abandona
agradecido	agradece
alentado	alienta
anunciado	anuncia
aprendido	aprende
compartido	comparte
consistido	consiste
controlado	controla
convertido	convierte
corrido	corre
creado	crea
crecido	crece
detenido	detiene
disfrutado	disfruta
ejercido	ejerce
entrado	entra
existido	existe
formulado	formula
fortalecido	fortalece
gestionado	gestiona
hecho	hace
impedido	impide
incluido	incluye
instalado	instala
leído	lee
llorado	llora
localizado	localiza
matado	mata
medido	mide
mencionado	menciona
mirado	mira
movido	mueve
ofrecido	ofrece
oído	oye
pagado,pago	paga
perdido	pierde
proveído,provisto	provee
publicado	publica
reconocido	reconoce
recordado	recuerda
revisado	revisa
roto	rompe
sentado	sienta
sufrido	sufre
sugerido	sugiere
trabajado	trabaja
tratado	trata
usado	usa
utilizado	utiliza
visto	ve
