adoptas/adoptás	adoptaría
adquieres/adquirís	adquiriría
anuncias/anunciás	anunciaría
asumes/asumís	asumiría
atiendes/atendés	atendería
añades/añadís	añadiría
bebes/bebés	bebería
caminas/caminás	caminaría
cantas/cantás	cantaría
casas/casás	casaría
combates/combatís	combatiría
completas/completás	completaría
compruebas/comprobás	comprobaría
conservas/conservás	conservaría
cuentas/contás	contaría
conviertes/convertís	convertiría
corres/corrés	correría
das	daría
descubres/descubrís	descubriría
detienes/detenés	detendría
disfrutas/disfrutás	disfrutaría
escapas/escapás	escaparía
exploras/explorás	exploraría
facilitas/facilitás	facilitaría
formas/formás	formaría
garantizas/garantizás	garantizaría
has	habría
imaginas/imaginás	imaginaría
impides/impedís	impediría
incluyes/incluís	incluiría
inicias/iniciás	iniciaría
inviertes/invertís	invertiría
llamas/llamás	llamaría
lloras/llorás	lloraría
mantienes/mantenés	mantendría
organizas/organizás	organizaría
pareces/parecés	parecería
preservas/preservás	preservaría
quedas/quedás	quedaría
recuperas/recuperás	recuperaría
sabes/sabés	sabría
sirves/servís	serviría
solicitas/solicitás	solicitaría
sugieres/sugerís	sugeriría
sumas/sumás	sumaría
trabajas/trabajás	trabajaría
unes/unís	uniría
utilizas/utilizás	utilizaría
vendes/vendés	vendería
vives/vivís	viviría
