abandonan	abandonamos
abordan	abordamos
adquieren	adquirimos
aparecen	aparecimos
aprovechan	aprovechamos
aseguran	aseguramos
beben	bebimos
caen	caímos
cantan	cantamos
casan	casamos
cierran	cerramos
completan	completamos
conocen	conocimos
consideran	consideramos
contribuyen	contribuimos
coordinan	coordinamos
corren	corrimos
definen	definimos
dependen	dependimos
descubren	descubrimos
destacan	destacamos
detienen	detuvimos
discuten	discutimos
ejecutan	ejecutamos
elaboran	elaboramos
eligen	elegimos
envían	enviamos
escriben	escribimos
evaden	evadimos
fortalecen	fortalecimos
han	hubimos
impiden	impedimos
involucran	involucramos
juegan	jugamos
mantienen	mantuvimos
muestran	mostramos
necesitan	necesitamos
ofrecen	ofrecimos
pierden	perdimos
prueban	probamos
reconocen	reconocimos
reducen	redujimos
salen	salimos
sienten	sentimos
son	fuimos
sirven	servimos
solicitan	solicitamos
soportan	soportamos
toman	tomamos
unen	unimos
