adoptáis	adoptaría
anunciáis	anunciaría
apoyáis	apoyaría
atraéis	atraería
bebéis	bebería
casáis	casaría
causáis	causaría
coméis	comería
completáis	completaría
compráis	compraría
construís	construiría
contribuís	contribuiría
creáis	crearía
crecéis	crecería
cubrís	cubriría
decís	diría
defendéis	defendería
demostráis	demostraría
destacáis	destacaría
destruís	destruiría
empezáis	empezaría
enseñáis	enseñaría
evaluáis	evaluaría
falláis	fallaría
firmáis	firmaría
gastáis	gastaría
incluís	incluiría
incrementáis	incrementaría
instaláis	instalaría
investigáis	investigaría
leéis	leería
llegáis	llegaría
lucháis	lucharía
miráis	miraría
movéis	movería
operáis	operaría
participáis	participaría
pasáis	pasaría
pedís	pediría
permanecéis	permanecería
permitís	permitiría
podéis	podría
preparáis	prepararía
recuperáis	recuperaría
regresáis	regresaría
satisfacéis	satisfaría
sugerís	sugeriría
trabajáis	trabajaría
visitáis	visitaría
voláis	volaría
