abres/abrís	abriré
accedes/accedés	accederé
adoptas/adoptás	adoptaré
alcanzas/alcanzás	alcanzaré
apareces/aparecés	apareceré
asistes/asistís	asistiré
bailas/bailás	bailaré
buscas/buscás	buscaré
cantas/cantás	cantaré
completas/completás	completaré
confirmas/confirmás	confirmaré
cuentas/contás	contaré
continúas/continuás	continuaré
desempeñas/desempeñás	desempeñaré
eliminas/eliminás	eliminaré
empiezas/empezás	empezaré
evalúas/evaluás	evaluaré
expresas/expresás	expresaré
facilitas/facilitás	facilitaré
fomentas/fomentás	fomentaré
formas/formás	formaré
garantizas/garantizás	garantizaré
gastas/gastás	gastaré
haces/hacés	haré
impides/impedís	impediré
impones/imponés	impondré
incrementas/incrementás	incrementaré
indicas/indicás	indicaré
integras/integrás	integraré
introduces/introducís	introduciré
inviertes/invertís	invertiré
investigas/investigás	investigaré
involucras/involucrás	involucraré
luchas/luchás	lucharé
manejas/manejás	manejaré
mejoras/mejorás	mejoraré
miras/mirás	miraré
permaneces/permanecés	permaneceré
puedes/podés	podré
promocionas/promocionás	promocionaré
provees/proveés	proveeré
refieres/referís	referiré
regresas/regresás	regresaré
resuelves/resolvés	resolveré
sales/salís	saldré
sientes/sentís	sentiré
señalas/señalás	señalaré
soportas/soportás	soportaré
unes/unís	uniré
utilizas/utilizás	utilizaré
