acuerdas/acordás	acordaban
actúas/actuás	actuaban
agradeces/agradecés	agradecían
apareces/aparecés	aparecían
aplicas/aplicás	aplicaban
asistes/asistís	asistían
averiguas/averiguás	averiguaban
bailas/bailás	bailaban
completas/completás	completaban
compras/comprás	compraban
confirmas/confirmás	confirmaban
consideras/considerás	consideraban
coordinas/coordinás	coordinaban
corres/corrés	corrían
cortas/cortás	cortaban
dices/decís	decían
designas/designás	designaban
elaboras/elaborás	elaboraban
encuentras/encontrás	encontraban
envías/enviás	enviaban
exploras/explorás	exploraban
facilitas/facilitás	facilitaban
fomentas/fomentás	fomentaban
guardas/guardás	guardaban
identificas/identificás	identificaban
llamas/llamás	llamaban
llevas/llevás	llevaban
luchas/luchás	luchaban
mueves/movés	movían
partes/partís	partían
puedes/podés	podían
previenes/prevenís	prevenían
produces/producís	producían
quedas/quedás	quedaban
realizas/realizás	realizaban
recibes/recibís	recibían
relacionas/relacionás	relacionaban
representas/representás	representaban
resuelves/resolvés	resolvían
respetas/respetás	respetaban
sales/salís	salían
soportas/soportás	soportaban
sumas/sumás	sumaban
supervisas/supervisás	supervisaban
tomas/tomás	tomaban
trabajas/trabajás	trabajaban
vienes/venís	venían
viajas/viajás	viajaban
visitas/visitás	visitaban
vives/vivís	vivían
