abordaremos	abordaréis
alcanzaremos	alcanzaréis
alentaremos	alentaréis
apareceremos	apareceréis
avanzaremos	avanzaréis
bailaremos	bailaréis
caminaremos	caminaréis
continuaremos	continuaréis
contribuiremos	contribuiréis
cooperaremos	cooperaréis
correremos	correréis
crearemos	crearéis
creeremos	creeréis
descargaremos	descargaréis
entraremos	entraréis
estableceremos	estableceréis
estaremos	estaréis
exploraremos	exploraréis
fomentaremos	fomentaréis
funcionaremos	funcionaréis
guardaremos	guardaréis
hablaremos	hablaréis
haremos	haréis
impondremos	impondréis
indicaremos	indicaréis
involucraremos	involucraréis
leeremos	leeréis
limpiaremos	limpiaréis
llegaremos	llegaréis
llevaremos	llevaréis
lloraremos	lloraréis
lograremos	lograréis
modificaremos	modificaréis
moriremos	moriréis
ofreceremos	ofreceréis
permaneceremos	permaneceréis
presentaremos	presentaréis
preservaremos	preservaréis
prestaremos	prestaréis
prevendremos	prevendréis
proporcionaremos	proporcionaréis
recogeremos	recogeréis
reconoceremos	reconoceréis
relacionaremos	relacionaréis
responderemos	responderéis
seleccionaremos	seleccionaréis
sobreviviremos	sobreviviréis
superaremos	superaréis
tomaremos	tomaréis
votaremos	votaréis
