aceptasteis	aceptaremos
acordasteis	acordaremos
anunciasteis	anunciaremos
aparecisteis	apareceremos
aplicasteis	aplicaremos
asististeis	asistiremos
atrajisteis	atraeremos
ayudasteis	ayudaremos
caísteis	caeremos
completasteis	completaremos
comprasteis	compraremos
concluisteis	concluiremos
consististeis	consistiremos
consolidasteis	consolidaremos
continuasteis	continuaremos
creísteis	creeremos
cumplisteis	cumpliremos
decidisteis	decidiremos
detuvisteis	detendremos
escuchasteis	escucharemos
exististeis	existiremos
explicasteis	explicaremos
facilitasteis	facilitaremos
gastasteis	gastaremos
gestionasteis	gestionaremos
identificasteis	identificaremos
impusisteis	impondremos
intentasteis	intentaremos
investigasteis	investigaremos
limitasteis	limitaremos
limpiasteis	limpiaremos
lograsteis	lograremos
matasteis	mataremos
modificasteis	modificaremos
operasteis	operaremos
pedisteis	pediremos
recibisteis	recibiremos
recuperasteis	recuperaremos
redujisteis	reduciremos
rompisteis	romperemos
supisteis	sabremos
sacasteis	sacaremos
salisteis	saldremos
servisteis	serviremos
solicitasteis	solicitaremos
sumasteis	sumaremos
trajisteis	traeremos
vinisteis	vendremos
visteis	veremos
volasteis	volaremos
