amplía	ampliaba
aparece	aparecía
aprende	aprendía
asegura	aseguraba
cae	caía
cambia	cambiaba
canta	cantaba
conduce	conducía
cuenta	contaba
continúa	continuaba
convierte	convertía
corre	corría
defiende	defendía
define	definía
demuestra	demostraba
descubre	descubría
destaca	destacaba
detiene	detenía
dirige	dirigía
elabora	elaboraba
elige	elegía
evade	evadía
examina	examinaba
firma	firmaba
genera	generaba
guarda	guardaba
ha	había
incrementa	incrementaba
intenta	intentaba
involucra	involucraba
llama	llamaba
localiza	localizaba
mantiene	mantenía
mira	miraba
muere	moría
observa	observaba
pide	pedía
preserva	preservaba
provee	proveía
reemplaza	reemplazaba
regresa	regresaba
respeta	respetaba
roba	robaba
rompe	rompía
saca	sacaba
sirve	servía
sobrevive	sobrevivía
soporta	soportaba
tiene	tenía
toca	tocaba
