acepté	aceptasteis
administré	administrasteis
adquirí	adquiristeis
alcancé	alcanzasteis
apoyé	apoyasteis
atendí	atendisteis
caí	caísteis
comencé	comenzasteis
compartí	compartisteis
consideré	considerasteis
contribuí	contribuisteis
corrí	corristeis
creé	creasteis
crecí	crecisteis
cuidé	cuidasteis
dije	dijisteis
demostré	demostrasteis
descargué	descargasteis
destaqué	destacasteis
disfruté	disfrutasteis
ejercí	ejercisteis
empecé	empezasteis
enfrenté	enfrentasteis
enseñé	enseñasteis
escribí	escribisteis
evalué	evaluasteis
evité	evitasteis
hube	hubisteis
identifiqué	identificasteis
impliqué	implicasteis
integré	integrasteis
llamé	llamasteis
luché	luchasteis
manejé	manejasteis
mantuve	mantuvisteis
parecí	parecisteis
pasé	pasasteis
probé	probasteis
propuse	propusisteis
realicé	realizasteis
recibí	recibisteis
respeté	respetasteis
salí	salisteis
solicité	solicitasteis
sugerí	sugeristeis
terminé	terminasteis
tomé	tomasteis
vine	vinisteis
viví	vivisteis
volé	volasteis
