aceptaremos	aceptaríais
alentaremos	alentaríais
apareceremos	apareceríais
asumiremos	asumiríais
ayudaremos	ayudaríais
cantaremos	cantaríais
combatiremos	combatiríais
completaremos	completaríais
compraremos	compraríais
consultaremos	consultaríais
contribuiremos	contribuiríais
cortaremos	cortaríais
cubriremos	cubriríais
cumpliremos	cumpliríais
daremos	daríais
definiremos	definiríais
detendremos	detendríais
ejecutaremos	ejecutaríais
enfrentaremos	enfrentaríais
enseñaremos	enseñaríais
escucharemos	escucharíais
evaluaremos	evaluaríais
funcionaremos	funcionaríais
garantizaremos	garantizaríais
gastaremos	gastaríais
haremos	haríais
incrementaremos	incrementaríais
informaremos	informaríais
intentaremos	intentaríais
jugaremos	jugaríais
localizaremos	localizaríais
lucharemos	lucharíais
mataremos	mataríais
mostraremos	mostraríais
pagaremos	pagaríais
perderemos	perderíais
probaremos	probaríais
recibiremos	recibiríais
recogeremos	recogeríais
reemplazaremos	reemplazaríais
reforzaremos	reforzaríais
resolveremos	resolveríais
sacaremos	sacaríais
saldremos	saldríais
seremos	seríais
serviremos	serviríais
solicitaremos	solicitaríais
superaremos	superaríais
supervisaremos	supervisaríais
uniremos	uniríais
