abriste	abrirían
cantaste	cantarían
celebraste	celebrarían
comiste	comerían
conociste	conocerían
consideraste	considerarían
contuviste	contendrían
convertiste	convertirían
creciste	crecerían
defendiste	defenderían
designaste	designarían
destacaste	destacarían
enseñaste	enseñarían
evitaste	evitarían
examinaste	examinarían
fortaleciste	fortalecerían
gastaste	gastarían
habilitaste	habilitarían
impediste	impedirían
impusiste	impondrían
lloraste	llorarían
luchaste	lucharían
miraste	mirarían
moviste	moverían
necesitaste	necesitarían
operaste	operarían
organizaste	organizarían
pasaste	pasarían
pudiste	podrían
pusiste	pondrían
preservaste	preservarían
previniste	prevendrían
promoviste	promoverían
recibiste	recibirían
recogiste	recogerían
recuperaste	recuperarían
referiste	referirían
relacionaste	relacionarían
respondiste	responderían
supiste	sabrían
satisficiste	satisfarían
fuiste	serían
serviste	servirían
señalaste	señalarían
solicitaste	solicitarían
sugeriste	sugerirían
superaste	superarían
tomaste	tomarían
trataste	tratarían
volaste	volarían
