accederíais	accederían
aceleraríais	acelerarían
agradeceríais	agradecerían
ampliaríais	ampliarían
aprenderíais	aprenderían
aprovecharíais	aprovecharían
asumiríais	asumirían
atenderíais	atenderían
combatiríais	combatirían
comprenderíais	comprenderían
comprobaríais	comprobarían
consolidaríais	consolidarían
contaríais	contarían
contendríais	contendrían
convertiríais	convertirían
coordinaríais	coordinarían
daríais	darían
diríais	dirían
desempeñaríais	desempeñarían
designaríais	designarían
discutiríais	discutirían
enfrentaríais	enfrentarían
entraríais	entrarían
escribiríais	escribirían
escucharíais	escucharían
estableceríais	establecerían
evaluaríais	evaluarían
evitaríais	evitarían
explicaríais	explicarían
expresaríais	expresarían
formularíais	formularían
generaríais	generarían
incluiríais	incluirían
incorporaríais	incorporarían
incrementaríais	incrementarían
limitaríais	limitarían
lloraríais	llorarían
mataríais	matarían
mejoraríais	mejorarían
mencionaríais	mencionarían
moveríais	moverían
pareceríais	parecerían
pasaríais	pasarían
podríais	podrían
prevendríais	prevendrían
probaríais	probarían
reduciríais	reducirían
resolveríais	resolverían
tendríais	tendrían
utilizaríais	utilizarían
