agradecías	agradecieron
alcanzabas	alcanzaron
aumentabas	aumentaron
buscabas	buscaron
cambiabas	cambiaron
cerrabas	cerraron
comenzabas	comenzaron
compartías	compartieron
conducías	condujeron
construías	construyeron
controlabas	controlaron
coordinabas	coordinaron
corrías	corrieron
creías	creyeron
cumplías	cumplieron
defendías	defendieron
definías	definieron
desarrollabas	desarrollaron
destruías	destruyeron
dirigías	dirigieron
discutías	discutieron
dormías	durmieron
elegías	eligieron
enseñabas	enseñaron
esperabas	esperaron
establecías	establecieron
evadías	evadieron
fallabas	fallaron
gastabas	gastaron
hablabas	hablaron
incrementabas	incrementaron
lograbas	lograron
morías	murieron
mostrabas	mostraron
participabas	participaron
pasabas	pasaron
permitías	permitieron
ponías	pusieron
promovías	promovieron
proporcionabas	proporcionaron
protegías	protegieron
proveías	proveyeron
realizabas	realizaron
recuperabas	recuperaron
robabas	robaron
sentías	sintieron
sugerías	sugirieron
unías	unieron
utilizabas	utilizaron
votabas	votaron
