abrieron	abrirás
accedieron	accederás
aceptaron	aceptarás
anunciaron	anunciarás
apoyaron	apoyarás
aprovecharon	aprovecharás
aseguraron	asegurarás
asumieron	asumirás
condujeron	conducirás
consiguieron	conseguirás
conservaron	conservarás
contaron	contarás
cuidaron	cuidarás
destruyeron	destruirás
encontraron	encontrarás
enseñaron	enseñarás
evaluaron	evaluarás
fomentaron	fomentarás
funcionaron	funcionarás
gestionaron	gestionarás
identificaron	identificarás
imaginaron	imaginarás
impidieron	impedirás
informaron	informarás
integraron	integrarás
introdujeron	introducirás
localizaron	localizarás
lograron	lograrás
mataron	matarás
mejoraron	mejorarás
ocurrieron	ocurrirás
organizaron	organizarás
pagaron	pagarás
partieron	partirás
permanecieron	permanecerás
prestaron	prestarás
previnieron	prevendrás
recordaron	recordarás
relacionaron	relacionarás
respetaron	respetarás
rompieron	romperás
sacaron	sacarás
satisficieron	satisfarás
fueron	serás
sobrevivieron	sobrevivirás
sugirieron	sugerirás
trataron	tratarás
viajaron	viajarás
visitaron	visitarás
volaron	volarás
