administra	administraban
aprovecha	aprovechaban
baila	bailaban
camina	caminaban
causa	causaban
completa	completaban
continúa	continuaban
convierte	convertían
corre	corrían
cree	creían
decide	decidían
define	definían
demuestra	demostraban
detiene	detenían
discute	discutían
elabora	elaboraban
elige	elegían
elimina	eliminaban
encuentra	encontraban
entiende	entendían
escapa	escapaban
espera	esperaban
está	estaban
examina	examinaban
financia	financiaban
funciona	funcionaban
habla	hablaban
implica	implicaban
llega	llegaban
lleva	llevaban
logra	lograban
muere	morían
necesita	necesitaban
opera	operaban
paga	pagaban
permite	permitían
prepara	preparaban
publica	publicaban
realiza	realizaban
recuerda	recordaban
recupera	recuperaban
respeta	respetaban
sabe	sabían
saca	sacaban
sirve	servían
soporta	soportaban
supera	superaban
utiliza	utilizaban
verifica	verificaban
visita	visitaban
