abandonabais	abandonaron
accedíais	accedieron
acelerabais	aceleraron
agradecíais	agradecieron
aparecíais	aparecieron
asegurabais	aseguraron
averiguabais	averiguaron
casabais	casaron
celebrabais	celebraron
combatíais	combatieron
comíais	comieron
comprendíais	comprendieron
confiabais	confiaron
contabais	contaron
controlabais	controlaron
crecíais	crecieron
decíais	dijeron
definíais	definieron
dejabais	dejaron
desarrollabais	desarrollaron
deteníais	detuvieron
empezabais	empezaron
enfrentabais	enfrentaron
escapabais	escaparon
esperabais	esperaron
facilitabais	facilitaron
fallabais	fallaron
ganabais	ganaron
gestionabais	gestionaron
incluíais	incluyeron
incrementabais	incrementaron
ibais	fueron
llorabais	lloraron
matabais	mataron
obteníais	obtuvieron
parabais	pararon
preparabais	prepararon
proporcionabais	proporcionaron
proveíais	proveyeron
publicabais	publicaron
recibíais	recibieron
regresabais	regresaron
revisabais	revisaron
robabais	robaron
sentabais	sentaron
servíais	sirvieron
soportabais	soportaron
sumabais	sumaron
supervisabais	supervisaron
trabajabais	trabajaron
