abordaban	abordaréis
alcanzaban	alcanzaréis
caían	caeréis
caminaban	caminaréis
comprendían	comprenderéis
concluían	concluiréis
conocían	conoceréis
consolidaban	consolidaréis
corrían	correréis
cubrían	cubriréis
cuidaban	cuidaréis
defendían	defenderéis
descargaban	descargaréis
destruían	destruiréis
dormían	dormiréis
eliminaban	eliminaréis
encontraban	encontraréis
enviaban	enviaréis
escribían	escribiréis
esperaban	esperaréis
estaban	estaréis
examinaban	examinaréis
explicaban	explicaréis
firmaban	firmaréis
formaban	formaréis
formulaban	formularéis
guardaban	guardaréis
implicaban	implicaréis
indicaban	indicaréis
llevaban	llevaréis
mencionaban	mencionaréis
necesitaban	necesitaréis
pagaban	pagaréis
paraban	pararéis
partían	partiréis
pensaban	pensaréis
permitían	permitiréis
ponían	pondréis
preservaban	preservaréis
requerían	requeriréis
respetaban	respetaréis
rompían	romperéis
seleccionaban	seleccionaréis
sobrevivían	sobreviviréis
supervisaban	supervisaréis
tenían	tendréis
vendían	venderéis
venían	vendréis
verificaban	verificaréis
viajaban	viajaréis
