acelera	aceleraste
acepta	aceptaste
alcanza	alcanzaste
aprovecha	aprovechaste
asiste	asististe
atiende	atendiste
aumenta	aumentaste
busca	buscaste
cierra	cerraste
completa	completaste
consigue	conseguiste
consolida	consolidaste
continúa	continuaste
corta	cortaste
depende	dependiste
evita	evitaste
firma	firmaste
funciona	funcionaste
instala	instalaste
involucra	involucraste
va	fuiste
lee	leíste
limita	limitaste
llega	llegaste
lleva	llevaste
logra	lograste
mata	mataste
mira	miraste
mueve	moviste
ocurre	ocurriste
organiza	organizaste
participa	participaste
permanece	permaneciste
puede	pudiste
presta	prestaste
queda	quedaste
reconoce	reconociste
representa	representaste
resuelve	resolviste
revisa	revisaste
satisface	satisficiste
sigue	seguiste
sobrevive	sobreviviste
sufre	sufriste
sugiere	sugeriste
suma	sumaste
tiene	tuviste
toca	tocaste
vende	vendiste
verifica	verificaste
