aceptáis	acepté
acordáis	acordé
administráis	administré
ampliáis	amplié
aparecéis	aparecí
asumís	asumí
añadís	añadí
coméis	comí
completáis	completé
conducís	conduje
conocéis	conocí
conseguís	conseguí
construís	construí
consultáis	consulté
convertís	convertí
crecéis	crecí
creéis	creí
dais	di
decís	dije
dejáis	dejé
demostráis	demostré
descubrís	descubrí
elaboráis	elaboré
empezáis	empecé
escapáis	escapé
escribís	escribí
esperáis	esperé
establecéis	establecí
estáis	estuve
estudiáis	estudié
firmáis	firmé
fortalecéis	fortalecí
hacéis	hice
identificáis	identifiqué
imagináis	imaginé
introducís	introduje
leéis	leí
llegáis	llegué
matáis	maté
mencionáis	mencioné
parecéis	parecí
preserváis	preservé
promocionáis	promocioné
promovéis	promoví
proponéis	propuse
recordáis	recordé
regresáis	regresé
sabéis	supe
venís	vine
votáis	voté
