abandonado	abandona
actuado	actúa
apoyado	apoya
aprendido	aprende
aprovechado	aprovecha
avanzado	avanza
averiguado	averigua
añadido	añade
bailado	baila
cambiado	cambia
comido	come
compartido	comparte
conducido	conduce
confiado	confía
confirmado	confirma
contado	cuenta
coordinado	coordina
definido	define
dejado	deja
designado	designa
destruido	destruye
elaborado	elabora
enfrentado	enfrenta
enseñado	enseña
evaluado	evalúa
financiado	financia
fomentado	fomenta
funcionado	funciona
guardado	guarda
habilitado	habilita
incrementado	incrementa
indicado	indica
instalado	instala
involucrado	involucra
llevado	lleva
operado	opera
parado	para
partido	parte
permanecido	permanece
producido	produce
protegido	protege
publicado	publica
quedado	queda
reducido	reduce
regresado	regresa
satisfecho	satisface
sobrevivido	sobrevive
venido	viene
vivido	vive
vuelto	vuelve
