administramos	administrasteis
adoptamos	adoptasteis
aparecimos	aparecisteis
aplicamos	aplicasteis
aseguramos	asegurasteis
avanzamos	avanzasteis
bailamos	bailasteis
causamos	causasteis
condujimos	condujisteis
consolidamos	consolidasteis
decidimos	decidisteis
dijimos	dijisteis
descubrimos	descubristeis
desempeñamos	desempeñasteis
destacamos	destacasteis
encontramos	encontrasteis
enseñamos	enseñasteis
entendimos	entendisteis
entramos	entrasteis
enviamos	enviasteis
evadimos	evadisteis
exploramos	explorasteis
facilitamos	facilitasteis
fomentamos	fomentasteis
formulamos	formulasteis
intentamos	intentasteis
llevamos	llevasteis
mejoramos	mejorasteis
mostramos	mostrasteis
necesitamos	necesitasteis
ocurrimos	ocurristeis
participamos	participasteis
perdimos	perdisteis
permanecimos	permanecisteis
presentamos	presentasteis
protegimos	protegisteis
realizamos	realizasteis
reconocimos	reconocisteis
redujimos	redujisteis
referimos	referisteis
reforzamos	reforzasteis
requerimos	requeristeis
supimos	supisteis
sentamos	sentasteis
sentimos	sentisteis
solicitamos	solicitasteis
soportamos	soportasteis
sugerimos	sugeristeis
vimos	visteis
votamos	votasteis
