abrimos	abrirá
aceptamos	aceptará
adoptamos	adoptará
analizamos	analizará
asistimos	asistirá
avanzamos	avanzará
averiguamos	averiguará
bebimos	beberá
casamos	casará
comenzamos	comenzará
completamos	completará
condujimos	conducirá
conocimos	conocerá
conseguimos	conseguirá
conservamos	conservará
continuamos	continuará
convertimos	convertirá
defendimos	defenderá
definimos	definirá
dependimos	dependerá
describimos	describirá
desempeñamos	desempeñará
disfrutamos	disfrutará
dormimos	dormirá
ejecutamos	ejecutará
encontramos	encontrará
enfrentamos	enfrentará
enseñamos	enseñará
entendimos	entenderá
enviamos	enviará
esperamos	esperará
estuvimos	estará
exploramos	explorará
formulamos	formulará
jugamos	jugará
mejoramos	mejorará
parecimos	parecerá
permanecimos	permanecerá
permitimos	permitirá
preguntamos	preguntará
previnimos	prevendrá
promocionamos	promocionará
referimos	referirá
supimos	sabrá
sacamos	sacará
sumamos	sumará
tuvimos	tendrá
trabajamos	trabajará
utilizamos	utilizará
visitamos	visitará
