acordaban	acordó
agradecían	agradeció
aprobaban	aprobó
añadían	añadió
caían	cayó
cambiaban	cambió
casaban	casó
comprendían	comprendió
confirmaban	confirmó
consideraban	consideró
continuaban	continuó
creían	creyó
cubrían	cubrió
descubrían	descubrió
detenían	detuvo
estaban	estuvo
evadían	evadió
explicaban	explicó
financiaban	financió
fomentaban	fomentó
garantizaban	garantizó
gestionaban	gestionó
guardaban	guardó
incluían	incluyó
integraban	integró
jugaban	jugó
llamaban	llamó
llegaban	llegó
medían	midió
operaban	operó
oían	oyó
participaban	participó
pensaban	pensó
podían	pudo
prestaban	prestó
recogían	recogió
reducían	redujo
reforzaban	reforzó
relacionaban	relacionó
respondían	respondió
revisaban	revisó
rompían	rompió
sentían	sintió
sugerían	sugirió
tenían	tuvo
traían	trajo
unían	unió
venían	vino
viajaban	viajó
volvían	volvió
