abordan	abordará
acceden	accederá
adquieren	adquirirá
alcanzan	alcanzará
alientan	alentará
asisten	asistirá
atienden	atenderá
cambian	cambiará
celebran	celebrará
comen	comerá
comparten	compartirá
conocen	conocerá
contienen	contendrá
convierten	convertirá
definen	definirá
dejan	dejará
desempeñan	desempeñará
destruyen	destruirá
determinan	determinará
dirigen	dirigirá
eligen	elegirá
eliminan	eliminará
entienden	entenderá
escapan	escapará
escuchan	escuchará
evaden	evadirá
expresan	expresará
habilitan	habilitará
informan	informará
instalan	instalará
intentan	intentará
investigan	investigará
llevan	llevará
manejan	manejará
necesitan	necesitará
ofrecen	ofrecerá
parecen	parecerá
piden	pedirá
pueden	podrá
prueban	probará
reciben	recibirá
resuelven	resolverá
satisfacen	satisfará
sirven	servirá
sugieren	sugerirá
suman	sumará
superan	superará
utilizan	utilizará
venden	venderá
verifican	verificará
