acuerdas/acordás	acordarías
asistes/asistís	asistirías
atiendes/atendés	atenderías
averiguas/averiguás	averiguarías
ayudas/ayudás	ayudarías
añades/añadís	añadirías
bailas/bailás	bailarías
caminas/caminás	caminarías
compruebas/comprobás	comprobarías
concluyes/concluís	concluirías
construyes/construís	construirías
contribuyes/contribuís	contribuirías
conviertes/convertís	convertirías
coordinas/coordinás	coordinarías
creces/crecés	crecerías
cuidas/cuidás	cuidarías
dices/decís	dirías
demuestras/demostrás	demostrarías
describes/describís	describirías
desempeñas/desempeñás	desempeñarías
disfrutas/disfrutás	disfrutarías
entiendes/entendés	entenderías
envías/enviás	enviarías
firmas/firmás	firmarías
identificas/identificás	identificarías
inviertes/invertís	invertirías
investigas/investigás	investigarías
manejas/manejás	manejarías
mides/medís	medirías
mencionas/mencionás	mencionarías
miras/mirás	mirarías
modificas/modificás	modificarías
olvidas/olvidás	olvidarías
organizas/organizás	organizarías
paras/parás	pararías
preguntas/preguntás	preguntarías
pruebas/probás	probarías
promocionas/promocionás	promocionarías
recuerdas/recordás	recordarías
relacionas/relacionás	relacionarías
sacas/sacás	sacarías
salvas/salvás	salvarías
sientes/sentís	sentirías
señalas/señalás	señalarías
sugieres/sugerís	sugerirías
tienes/tenés	tendrías
traes/traés	traerías
utilizas/utilizás	utilizarías
vienes/venís	vendrías
vuelves/volvés	volverías
