abordó	abordaremos
administró	administraremos
apareció	apareceremos
caminó	caminaremos
combatió	combatiremos
compartió	compartiremos
compró	compraremos
comprendió	comprenderemos
contó	contaremos
cortó	cortaremos
creyó	creeremos
dependió	dependeremos
describió	describiremos
destruyó	destruiremos
ejecutó	ejecutaremos
eliminó	eliminaremos
entró	entraremos
escuchó	escucharemos
evaluó	evaluaremos
existió	existiremos
facilitó	facilitaremos
fortaleció	fortaleceremos
ganó	ganaremos
implicó	implicaremos
incluyó	incluiremos
incrementó	incrementaremos
instaló	instalaremos
manejó	manejaremos
movió	moveremos
observó	observaremos
ofreció	ofreceremos
olvidó	olvidaremos
operó	operaremos
perdió	perderemos
preparó	prepararemos
presentó	presentaremos
produjo	produciremos
protegió	protegeremos
publicó	publicaremos
recogió	recogeremos
reemplazó	reemplazaremos
seleccionó	seleccionaremos
sintió	sentiremos
terminó	terminaremos
tocó	tocaremos
vino	vendremos
vio	veremos
vivió	viviremos
volvió	volveremos
votó	votaremos
