aceptáis	aceptabas
alcanzáis	alcanzabas
anunciáis	anunciabas
aprendéis	aprendías
aprovecháis	aprovechabas
atraéis	atraías
avanzáis	avanzabas
comenzáis	comenzabas
confiáis	confiabas
consideráis	considerabas
consolidáis	consolidabas
coordináis	coordinabas
creéis	creías
descargáis	descargabas
desempeñáis	desempeñabas
destacáis	destacabas
ejercéis	ejercías
encontráis	encontrabas
falláis	fallabas
fomentáis	fomentabas
ganáis	ganabas
gastáis	gastabas
gestionáis	gestionabas
habéis	habías
incorporáis	incorporabas
instaláis	instalabas
invertís	invertías
localizáis	localizabas
matáis	matabas
mejoráis	mejorabas
modificáis	modificabas
movéis	movías
ofrecéis	ofrecías
olvidáis	olvidabas
pedís	pedías
pensáis	pensabas
presentáis	presentabas
prevenís	prevenías
promocionáis	promocionabas
quedáis	quedabas
recuperáis	recuperabas
sabéis	sabías
seguís	seguías
solicitáis	solicitabas
sufrís	sufrías
tomáis	tomabas
vendéis	vendías
venís	venías
verificáis	verificabas
viajáis	viajabas
