accedes/accedés	accedió
amplías/ampliás	amplió
analizas/analizás	analizó
apruebas/aprobás	aprobó
atraes/atraés	atrajo
añades/añadís	añadió
caminas/caminás	caminó
cantas/cantás	cantó
compruebas/comprobás	comprobó
confías/confiás	confió
conoces/conocés	conoció
creas/creás	creó
cumples/cumplís	cumplió
ejerces/ejercés	ejerció
elaboras/elaborás	elaboró
eliminas/eliminás	eliminó
escapas/escapás	escapó
esperas/esperás	esperó
evades/evadís	evadió
evalúas/evaluás	evaluó
exploras/explorás	exploró
financias/financiás	financió
funcionas/funcionás	funcionó
gastas/gastás	gastó
generas/generás	generó
instalas/instalás	instaló
integras/integrás	integró
introduces/introducís	introdujo
juegas/jugás	jugó
lloras/llorás	lloró
logras/lográs	logró
manejas/manejás	manejó
observas/observás	observó
olvidas/olvidás	olvidó
pasas/pasás	pasó
permaneces/permanecés	permaneció
pones/ponés	puso
previenes/prevenís	previno
proteges/protegés	protegió
reconoces/reconocés	reconoció
recuerdas/recordás	recordó
reemplazas/reemplazás	reemplazó
sales/salís	salió
sientas/sentás	sentó
supervisas/supervisás	supervisó
tratas/tratás	trató
vendes/vendés	vendió
vienes/venís	vino
ves	vio
verificas/verificás	verificó
