amplían	ampliaba
anuncian	anunciaba
aprueban	aprobaba
asumen	asumía
buscan	buscaba
caen	caía
comparten	compartía
comprueban	comprobaba
conservan	conservaba
corren	corría
cuidan	cuidaba
deciden	decidía
dependen	dependía
desarrollan	desarrollaba
detienen	detenía
eliminan	eliminaba
entienden	entendía
envían	enviaba
escuchan	escuchaba
establecen	establecía
evitan	evitaba
exploran	exploraba
fallan	fallaba
generan	generaba
hacen	hacía
identifican	identificaba
implican	implicaba
imponen	imponía
inician	iniciaba
investigan	investigaba
juegan	jugaba
modifican	modificaba
obtienen	obtenía
ocurren	ocurría
ofrecen	ofrecía
organizan	organizaba
preparan	preparaba
presentan	presentaba
proponen	proponía
proveen	proveía
reemplazan	reemplazaba
resuelven	resolvía
roban	robaba
son	era
sobreviven	sobrevivía
soportan	soportaba
suman	sumaba
tocan	tocaba
usan	usaba
vuelan	volaba
