abristeis	abrirá
aceptasteis	aceptará
acordasteis	acordará
adquiristeis	adquirirá
agradecisteis	agradecerá
alcanzasteis	alcanzará
analizasteis	analizará
aparecisteis	aparecerá
aprendisteis	aprenderá
asegurasteis	asegurará
aumentasteis	aumentará
ayudasteis	ayudará
añadisteis	añadirá
causasteis	causará
concluisteis	concluirá
condujisteis	conducirá
conocisteis	conocerá
convertisteis	convertirá
creísteis	creerá
cuidasteis	cuidará
cumplisteis	cumplirá
decidisteis	decidirá
describisteis	describirá
dirigisteis	dirigirá
enviasteis	enviará
escapasteis	escapará
formasteis	formará
funcionasteis	funcionará
hubisteis	habrá
incrementasteis	incrementará
jugasteis	jugará
lograsteis	logrará
matasteis	matará
mejorasteis	mejorará
mirasteis	mirará
moristeis	morirá
pudisteis	podrá
preguntasteis	preguntará
propusisteis	propondrá
redujisteis	reducirá
salisteis	saldrá
seleccionasteis	seleccionará
señalasteis	señalará
supervisasteis	supervisará
tuvisteis	tendrá
terminasteis	terminará
unisteis	unirá
vendisteis	venderá
viajasteis	viajará
vivisteis	vivirá
