acordaba	acordaríais
ampliaba	ampliaríais
anunciaba	anunciaríais
aprovechaba	aprovecharíais
aseguraba	aseguraríais
averiguaba	averiguaríais
añadía	añadiríais
causaba	causaríais
combatía	combatiríais
concluía	concluiríais
conducía	conduciríais
contaba	contaríais
contenía	contendríais
cooperaba	cooperaríais
decidía	decidiríais
defendía	defenderíais
descargaba	descargaríais
descubría	descubriríais
destacaba	destacaríais
ejecutaba	ejecutaríais
eliminaba	eliminaríais
enseñaba	enseñaríais
evitaba	evitaríais
firmaba	firmaríais
formulaba	formularíais
había	habríais
hablaba	hablaríais
incluía	incluiríais
indicaba	indicaríais
integraba	integraríais
llamaba	llamaríais
lograba	lograríais
luchaba	lucharíais
manejaba	manejaríais
mataba	mataríais
mejoraba	mejoraríais
obtenía	obtendríais
ocurría	ocurriríais
podía	podríais
prevenía	prevendríais
proponía	propondríais
recogía	recogeríais
respetaba	respetaríais
respondía	responderíais
revisaba	revisaríais
satisfacía	satisfaríais
sufría	sufriríais
trabajaba	trabajaríais
visitaba	visitaríais
volaba	volaríais
