abren	abriré
alientan	alentaré
anuncian	anunciaré
aplican	aplicaré
atienden	atenderé
ayudan	ayudaré
comen	comeré
completan	completaré
conducen	conduciré
construyen	construiré
cuentan	contaré
corren	correré
dan	daré
defienden	defenderé
dejan	dejaré
dependen	dependeré
detienen	detendré
ejecutan	ejecutaré
estudian	estudiaré
evalúan	evaluaré
fomentan	fomentaré
guardan	guardaré
han	habré
incrementan	incrementaré
introducen	introduciré
limpian	limpiaré
llaman	llamaré
lloran	lloraré
localizan	localizaré
logran	lograré
mueren	moriré
ofrecen	ofreceré
organizan	organizaré
parten	partiré
presentan	presentaré
previenen	prevendré
prueban	probaré
proveen	proveeré
realizan	realizaré
recogen	recogeré
recuperan	recuperaré
salvan	salvaré
siguen	seguiré
sienten	sentiré
soportan	soportaré
superan	superaré
terminan	terminaré
toman	tomaré
ven	veré
visitan	visitaré
