abre	abrieron
acepta	aceptaron
alcanza	alcanzaron
anuncia	anunciaron
aprueba	aprobaron
averigua	averiguaron
cambia	cambiaron
comienza	comenzaron
comprueba	comprobaron
conduce	condujeron
confía	confiaron
consigue	consiguieron
consiste	consistieron
cuenta	contaron
controla	controlaron
convierte	convirtieron
corre	corrieron
corta	cortaron
cuida	cuidaron
dice	dijeron
depende	dependieron
desempeña	desempeñaron
designa	designaron
destruye	destruyeron
detiene	detuvieron
duerme	durmieron
empieza	empezaron
entra	entraron
escucha	escucharon
facilita	facilitaron
funciona	funcionaron
gana	ganaron
incrementa	incrementaron
juega	jugaron
logra	lograron
mejora	mejoraron
mira	miraron
muere	murieron
parte	partieron
pierde	perdieron
recupera	recuperaron
regresa	regresaron
sienta	sentaron
sugiere	sugirieron
supervisa	supervisaron
trata	trataron
vende	vendieron
verifica	verificaron
vive	vivieron
vota	votaron
