abordaré	abordarán
aceptaré	aceptarán
actuaré	actuarán
agradeceré	agradecerán
alcanzaré	alcanzarán
alentaré	alentarán
apareceré	aparecerán
aplicaré	aplicarán
aprobaré	aprobarán
atraeré	atraerán
cambiaré	cambiarán
casaré	casarán
combatiré	combatirán
completaré	completarán
comprenderé	comprenderán
contendré	contendrán
controlaré	controlarán
cubriré	cubrirán
dejaré	dejarán
descubriré	descubrirán
destruiré	destruirán
determinaré	determinarán
disfrutaré	disfrutarán
ejerceré	ejercerán
elaboraré	elaborarán
escribiré	escribirán
estaré	estarán
evadiré	evadirán
evaluaré	evaluarán
existiré	existirán
facilitaré	facilitarán
hablaré	hablarán
identificaré	identificarán
implicaré	implicarán
incluiré	incluirán
incorporaré	incorporarán
integraré	integrarán
lucharé	lucharán
mostraré	mostrarán
olvidaré	olvidarán
pasaré	pasarán
pensaré	pensarán
perderé	perderán
preguntaré	preguntarán
promoveré	promoverán
recogeré	recogerán
recordaré	recordarán
sacaré	sacarán
superaré	superarán
volaré	volarán
